Striped coloring (storing nothing),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.537149
2.41562
2.41459
2.42995
2.41869
2.41562
2.41357
2.41766
2.41882
2.41766
2.41357
