Striped coloring (storing nothing),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.799184
11.4096
11.3759
11.3803
11.3996
11.3827
11.3826
11.3956
11.3852
11.4239
11.421
