Striped coloring (pre-computing COR Format),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.60198
2.63885
2.59174
2.58662
2.5856
2.58662
2.5815
2.5856
2.58253
2.5897
