Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
14.2042
13.9095
13.852
13.8908
13.8575
13.8692
13.8417
13.883
13.8456
13.8344
