Striped coloring (pre-computing COR Format),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
5.63021
5.62592
5.62298
5.72874
5.60429
5.6113
5.60822
5.62893
5.62042
5.61162
