Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
11.3645
11.4931
11.3869
11.462
11.3769
11.4483
11.3929
11.486
11.377
11.4493
