Striped coloring (storing nothing),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.829846
40.8663
40.651
40.6494
40.6894
40.6689
40.6591
40.6651
40.6781
40.6548
40.6547
