Striped coloring (pre-computing COR Format),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
4.112
4.08467
4.11526
4.08294
4.0768
4.07693
4.06205
4.07024
4.17795
4.06566
