Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.703826
17.2543
17.2746
17.2365
17.1479
17.2099
17.1898
17.2222
17.1947
17.1761
17.1883
