Striped coloring (storing nothing),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.647635
29.8384
29.7804
29.7448
29.738
29.7373
29.7514
29.7271
29.729
29.8284
29.7991
