Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
22.1852
21.3368
21.2059
21.222
21.2058
21.2028
21.2414
21.2266
21.1882
21.2196
