Striped coloring (storing nothing),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.4722
0.995328
0.99424
0.992256
0.990208
0.992256
0.990208
0.989184
0.989184
0.987136
0.988096
