Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
50.6109
49.9466
49.9177
49.9251
49.9251
49.9428
49.878
49.9213
49.8793
49.9064
