Striped coloring (pre-computing COR Format),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
1.04237
1.04038
1.04038
1.03936
1.03936
1.03725
1.03414
1.03219
1.03635
1.03536
