Striped Warp Reduction (3x physical cores occupied),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.029408
0.027648
0.02672
0.027648
0.027552
0.026624
0.026688
0.026624
0.026624
0.026624
