Striped Warp Reduction (3x physical cores occupied),41-44,3d_27pt,256,128,128,4194304,Dot,vanilla_version
0.104032
0.1024
0.10224
0.101376
0.101376
0.102432
0.102656
0.102336
0.1024
0.1024
