Striped Warp Reduction (3x physical cores occupied),41-44,3d_27pt,16,16,16,4096,Dot,vanilla_version
0.012864
0.012384
0.012224
0.012288
0.012256
0.011264
0.012288
0.012256
0.011264
0.011392
