Striped Warp Reduction (3x physical cores occupied),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.047808
0.04608
0.044032
0.043008
0.044032
0.044032
0.047104
0.044032
0.043008
0.043776
