Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.288012
16.4133
16.4072
16.3521
16.3884
16.3293
16.3904
16.4638
16.3415
16.3425
16.4116
