Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 174
914.532
915.473
915.47
915.374
914.89
915.626
915.686
915.653
914.576
916.002
