Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,512,512,512,3609741304,SymGS,vanilla_version_normi/norm0: 0.79927
1083.46
1083.83
1083.55
1083.69
1084.07
1083.97
1132.89
1083.89
1095.85
1083.92
