Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 88
1099.59
1098.33
1098.65
1098.77
1098.84
1099.1
1098.62
1092.55
1099.24
1099.16
