Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 45
9.41958
9.30509
9.27958
9.32883
9.31126
9.31581
9.2632
9.34432
9.34294
9.29741
