Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.464107
30.5511
30.5255
34.7066
30.3872
30.3895
30.4064
30.3586
30.3566
30.365
30.4028
