Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 45
17.8054
17.809
17.7486
17.7941
17.74
17.8769
17.7814
17.7607
17.7782
17.7958
