Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 317
13698.3
13720.1
13694.4
13723.5
13700
13720.2
13701.2
13724.2
13700
13724.2
