Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 88
12.2859
12.1201
12.0963
12.105
12.1171
12.1511
12.0988
12.1311
12.1092
12.102
