Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 174
36.5135
36.4005
36.3547
36.3347
36.3048
36.2893
36.3979
36.3437
36.3547
36.3481
