Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 174
6721.91
6715.83
6714.58
6713.82
6712.05
6718.9
6717.16
6723.36
6713.27
6714.64
