Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 317
225.488
225.01
224.942
225.32
225.57
224.947
225.022
225.305
225.439
225.06
