Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 25
7.5648
7.59277
7.57248
7.61914
7.61018
7.60323
7.57456
7.59059
7.5895
7.61581
