Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 25
225.153
224.183
223.995
223.796
223.947
223.806
224.025
223.814
223.789
224.029
