Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 45
426.146
426.247
429.139
428.999
428.641
429.007
428.127
425.659
428.878
428.648
