Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.641553
151.431
151.414
151.454
151.532
151.495
151.523
151.437
151.53
155.282
152.879
