Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 88
79.8395
79.537
79.6415
79.8064
79.9665
79.7883
79.8394
79.7812
79.8116
79.8141
