Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 25
8.87347
8.84195
8.84394
8.804
8.79802
8.79936
8.80902
8.81296
8.80102
8.82304
