Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.128038
13.6349
13.5296
13.5323
13.5735
13.5957
13.6579
13.5924
13.5603
13.6276
13.584
