Striped Box coloring,41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.200786
2.07226
2.05507
2.05901
2.04938
2.0536
2.0416
2.05334
2.04173
2.03853
2.07046
