Striped Box coloring,41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.417828
9.24643
9.20477
9.18995
9.20368
9.19357
9.18938
9.17232
9.24506
9.17498
9.18906
