Striped Box coloring,41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.364383
5.66394
5.64579
5.62618
5.65981
5.65277
5.66589
5.65917
5.67392
5.62864
5.62323
