Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 83
7.20294
7.17578
7.15827
7.11446
7.13888
7.11731
7.14701
7.12902
7.13354
7.13946
