Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.70437
127.336
127.311
127.614
127.427
127.292
127.469
127.282
127.513
127.295
127.641
