Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 315
60769.5
60771.6
60767.3
60770.6
60763.3
60770.4
60762.8
60770.4
60763.1
60772.2
