Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
7.57821
7.54986
7.56224
7.56458
7.5543
7.52672
7.62083
7.55818
7.57533
7.5857
