Striped coloring (storing nothing),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
7.5353
7.54973
7.54093
7.54275
7.55139
7.49952
7.48973
7.46291
7.48813
7.52314
