Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 83
80.8576
80.7851
80.8016
80.7668
80.7272
80.7911
80.9047
80.808
80.9273
80.8646
