Striped coloring (storing nothing),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 295
13628.8
13632.8
13637.1
13634.7
13638.9
13635.5
13639
13636.3
13638.4
13634.3
