Striped coloring (storing nothing),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 41
45.1698
44.8759
44.7747
44.8164
44.9183
44.8419
44.8734
44.7723
44.8781
44.8966
