Striped coloring (storing nothing),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
19.6132
19.5998
19.5381
19.5989
19.6462
19.5454
19.6612
19.5352
19.5182
19.5939
