Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.131496
6.17869
6.17094
6.14288
6.14301
6.17744
6.12659
6.11146
6.12381
6.13546
6.1297
