Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 332
187.356
187.231
187.151
187.161
187.156
187.104
187.188
187.186
187.155
187.238
