Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 159
916.401
916.607
915.288
916.638
916.594
916.292
915.704
916.143
916.248
916.331
