Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 44
5.3224
5.26678
5.23466
5.24749
5.23674
5.24352
5.2463
5.2377
5.25088
5.23738
