Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 295
516.876
516.388
516.233
515.832
516.092
516.214
516.15
515.979
515.858
516.157
