Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.647401
145.087
138.09
138.102
138.051
138.528
138.305
138.119
138.143
138.114
138.174
