Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 83
630.33
629.499
629.684
630.238
630.303
630.008
629.592
629.949
629.784
629.795
