Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 315
204.433
203.897
203.929
203.676
203.952
203.782
203.828
203.752
203.872
203.799
