Striped coloring (storing nothing),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 78
80.6036
80.3198
80.3961
80.6672
80.7435
80.68
80.7436
80.6983
80.7039
80.7698
