Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 78
80.6189
80.6636
80.7537
80.7135
80.8274
80.7882
80.7561
80.8013
80.7547
80.4469
