Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 159
4595.04
4589.85
4596.05
4596.57
4595.88
4595.92
4596.36
4595.93
4596.57
4595.84
