Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.292314
9.41773
9.51603
9.4936
9.47597
9.45478
9.43011
9.55917
9.46096
9.38256
9.43555
