Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
15.1702
15.1899
15.1062
15.108
15.1396
15.1714
15.0904
15.1622
15.1251
15.1491
