Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 332
13630.8
13629.7
13632.5
13630.7
13632.2
13630.6
13633.5
13631.1
13632.5
13631.3
