Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 83
80.6931
80.6996
80.3626
80.4132
80.738
80.7631
80.7891
80.8357
80.7526
80.6991
